Rescue_ID,Date_Caught,Researcher,CaptureSite,ForagingGround,CaptureMethod,Fisher,LandingSite,Species,ReleaseSite,Tag_1,Tag_2,Tag_3,Lost_Tags,T_Number,CCL_cm,CCW_cm,Weight_Kg,Sex,TurtleCharacteristics,Status,Date_Release,Release_Admiss_Notes,SpecialRemarks,PCVNumber,Expenditure
1999_RE_0023,8/12/1999,researcher_17,site_110,creek,net,fisher_554,not_recorded,species_1,site_110,H478,None,NA,NA,NA,40.5,34.5,NA,NA,RFflip mis-shapen& 2CS cracked& smBs on front flips & 2&3&5CS &4RLS,NA,NA,NA,NA,NA,NA
1999_RE_0024,8/19/1999,researcher_17,site_58,creek,net,fisher_1387,site_8,species_1,site_113,H477,None,NA,NA,NA,46.5,43,NA,NA,smBs on head& 4smBs-RRflip& 1B-3RLS & 7RM & 5CS& 2Bs 6RM,NA,NA,NA,NA,NA,NA
1999_RE_0025,8/20/1999,researcher_17,site_58,creek,net,fisher_771,not_recorded,species_1,site_110,H476,None,NA,NA,NA,40,38,NA,NA,2 notches LRflip& thin point ot LFflip,NA,NA,NA,NA,NA,NA
1999_RE_0026,8/20/1999,researcher_17,site_58,creek,net,fisher_667,not_recorded,species_1,site_113,H450,None,NA,NA,NA,44,43,NA,NA,1B-4RM & 1CS,NA,NA,NA,NA,NA,NA
1999_RE_0027,8/30/1999,researcher_17,site_113,ocean,net,fisher_1395,not_recorded,species_1,site_113,H449,None,NA,NA,NA,39,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0028,9/11/1999,researcher_17,site_113,ocean,net,fisher_989,site_118,species_1,site_113,H446,None,NA,NA,NA,91,88.5,NA,NA,Fibropapillomas.-on all flips and adjoining body& notch i LRflip& sea lice on eyelids,NA,NA,NA,Fibropapillomatosis,NA,NA
1999_RE_0029,9/18/1999,researcher_6,not_recorded,not_recorded,net,fisher_428,not_recorded,species_1,not_recorded,H385,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0030,9/18/1999,researcher_17,site_58,creek,net,fisher_1232,not_recorded,species_2,site_110,H350,None,NA,NA,NA,27.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0031,10/10/1999,researcher_17,site_58,creek,net,fisher_115,not_recorded,species_1,site_110,H340,None,NA,NA,NA,44.5,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0033,10/23/1999,researcher_14,site_33,creek,net,fisher_602,site_58,species_1,site_110,H477,None,NA,NA,NA,43,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0034,10/23/1999,researcher_17,site_58,creek,net,fisher_611,not_recorded,species_1,site_113,H341,None,NA,NA,NA,48,45,NA,NA,1B under tip FLflip& shell covered in Bs,NA,NA,NA,NA,NA,NA
1999_RE_0035,10/26/1999,researcher_14,site_33,creek,net,fisher_611,site_8,species_1,site_110,H349,None,NA,NA,NA,48,45,NA,NA,sm leeches on flips& 1B-2LLS & 5RLS,NA,NA,NA,NA,NA,NA
1999_RE_0036,11/3/1999,researcher_17,site_33,creek,net,fisher_672,not_recorded,species_1,site_113,H348,None,NA,NA,NA,42,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0037,11/10/1999,researcher_17,site_33,creek,net,fisher_771,not_recorded,species_1,site_110,H342,None,NA,NA,NA,39,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0038,11/16/1999,researcher_17,site_58,creek,net,fisher_311,not_recorded,species_1,site_110,H343,None,NA,NA,NA,42.5,41.5,NA,NA,1B-2CS & 4RLS,NA,NA,NA,NA,NA,NA
1999_RE_0039,11/20/1999,researcher_17,site_110,creek,net,fisher_539,site_58,species_2,site_110,H344,None,NA,NA,NA,29,26,NA,NA,Bs-head& shell& Fflips,NA,NA,NA,NA,NA,NA
1999_RE_0040,11/21/1999,researcher_6,not_recorded,not_recorded,net,fisher_1351,site_8,species_1,not_recorded,NotTagged_0028,None,NA,NA,NA,31.5,29,NA,NA,Bs- at rear C& damage to 1LLS,NA,NA,NA,NA,NA,NA
1999_RE_0041,11/30/1999,researcher_17,site_33,creek,net,fisher_1381,not_recorded,species_1,site_113,H345,None,NA,NA,NA,36.5,35.5,NA,NA,1B-R prefrontal & left neck & 2CS & 5CS& 2Bs- 8RM,NA,NA,NA,NA,NA,NA
1999_RE_0042,12/27/1999,researcher_17,site_58,creek,net,fisher_611,not_recorded,species_1,site_113,H346,None,NA,NA,NA,40.5,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0001,2/3/2000,researcher_6,not_recorded,creek,net,fisher_217,site_8,species_1,not_recorded,NotTagged_0029,None,NA,NA,NA,45.8,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0002,2/18/2000,researcher_14,not_recorded,creek,net,fisher_619,site_8,species_1,site_110,Y423,None,NA,NA,NA,51,48,NA,NA,1B-4RLS & 4LRS& 2B-1LLS,NA,NA,NA,NA,NA,NA
2000_RE_0003,2/22/2000,researcher_6,site_33,creek,net,fisher_845,not_recorded,species_1,not_recorded,NotTagged_0030,None,NA,NA,NA,43,38,NA,NA,large hole 3CS,NA,NA,NA,NA,NA,NA
2000_RE_0004,3/1/2000,researcher_14,site_58,creek,net,fisher_696,site_8,species_1,site_110,Y422,None,NA,NA,NA,43,40,NA,NA,1B-4LLS &  R nose& 4B-4RLS& 2B Lface& Bdamage 3CS&,NA,NA,NA,NA,NA,NA
2000_RE_0006,3/2/2000,researcher_14,not_recorded,creek,net,fisher_217,site_8,species_1,site_110,Y407,None,NA,NA,NA,45,43,NA,NA,smBs on shell and Lflip,NA,NA,NA,NA,NA,NA
2000_RE_0007,3/29/2000,researcher_6,site_58,creek,not_recorded,fisher_679,not_recorded,species_2,not_recorded,NotTagged_0031,None,NA,NA,NA,5,5,NA,NA,hatchling',NA,NA,NA,NA,NA,NA
2000_RE_0008,4/20/2000,researcher_6,site_6,ocean,beached,fisher_1389,not_recorded,species_2,not_recorded,NotTagged_0032,None,NA,NA,NA,5,5,NA,NA,hatchling',NA,NA,NA,NA,NA,NA
2000_RE_0009,4/30/2000,researcher_6,site_58,creek,net,fisher_861,not_recorded,species_1,not_recorded,NotTagged_0033,None,NA,NA,NA,43,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0010,5/20/2000,researcher_14,site_8,creek,not_recorded,fisher_594,site_8,species_2,not_recorded,NotTagged_0034,None,NA,NA,NA,8,8,NA,NA,hatchling'& Bs on plastron,NA,NA,NA,NA,NA,NA
2000_RE_0011,5/25/2000,researcher_14,site_33,creek,net,fisher_1114,not_recorded,species_1,site_110,Y408,None,NA,NA,NA,62,58,NA,NA,smBs on flips,NA,NA,NA,NA,NA,NA
2000_RE_0012,6/10/2000,researcher_20,site_58,creek,net,fisher_855,not_recorded,species_2,site_90,NotTagged_0035,None,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0013,6/10/2000,researcher_17,site_33,creek,net,fisher_619,not_recorded,species_1,site_113,NotTagged_0036,None,NA,NA,NA,18.7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0014,6/19/2000,researcher_17,site_117,ocean,beached,fisher_139,not_recorded,species_2,site_83,Y409,None,NA,NA,NA,30.5,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0015,7/5/2000,researcher_17,site_33,creek,net,fisher_1167,site_8,species_1,site_110,Y421,None,NA,NA,NA,47.3,45.5,NA,NA,LFflip old tag hole& RFflip piece missing at end& superficial shell damage from barnacel removal,NA,NA,NA,NA,NA,NA
2000_RE_0016,7/7/2000,researcher_17,site_58,creek,net,fisher_792,not_recorded,species_1,site_106,NotTagged_0037,None,NA,NA,NA,56.5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0017,7/8/2000,researcher_17,site_106,ocean,longline,fisher_1021,not_recorded,species_1,site_106,NotTagged_0038,None,NA,NA,NA,43,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0018,7/17/2000,researcher_14,not_recorded,creek,net,fisher_1167,site_8,species_1,not_recorded,NotTagged_0039,None,NA,NA,NA,39.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0019,7/21/2000,researcher_17,site_106,ocean,fish trap,fisher_383,not_recorded,species_1,site_106,NotTagged_0040,None,NA,NA,NA,39.5,38.5,NA,NA,LR flip small notch& LF flip sm notch near end,NA,NA,NA,NA,NA,NA
2000_RE_0020,7/25/2000,researcher_17,site_58,creek,net,fisher_929,not_recorded,species_1,not_recorded,Y420,None,NA,NA,NA,45.8,43.5,NA,NA,smBs on shell & LF & LR flips& 1B on head,NA,NA,NA,NA,NA,NA
2000_RE_0021,8/24/2000,researcher_17,site_117,ocean,beached,fisher_139,not_recorded,species_1,site_83,Y419,None,NA,NA,NA,35.5,36.2,NA,NA,algae on shell,NA,NA,NA,NA,NA,NA
2000_RE_0022,8/27/2000,researcher_17,site_6,ocean,collected floater,fisher_452,not_recorded,species_1,site_106,Y419,None,NA,NA,NA,35.5,36.2,NA,NA,seemd emaciated,NA,NA,NA,NA,NA,NA
2000_RE_0023,8/28/2000,researcher_6,site_58,creek,not_recorded,not_recorded,not_recorded,species_1,site_67,Y419,None,NA,NA,NA,35.5,36.2,NA,NA,given glucose and vitamin injections,NA,NA,NA,NA,NA,NA
2000_RE_0024,8/31/2000,researcher_17,site_58,creek,net,fisher_985,not_recorded,species_1,site_58,Y414,None,NA,NA,NA,42.1,42.2,NA,NA,slight overlapping of scutes,NA,NA,NA,NA,NA,NA
2000_RE_0025,9/8/2000,researcher_17,site_111,creek,net,fisher_1387,not_recorded,species_1,not_recorded,Y410,None,NA,NA,NA,48.9,45.7,NA,NA,B -4CS,NA,NA,NA,NA,NA,NA
2000_RE_0026,9/8/2000,researcher_17,not_recorded,creek,net,fisher_217,site_8,species_1,not_recorded,Y411,None,NA,NA,NA,43.7,44.7,NA,NA,sm Bs shell,NA,NA,NA,NA,NA,NA
2000_RE_0027,9/8/2000,researcher_17,site_58,creek,net,fisher_1258,site_8,species_1,site_110,Y413,None,NA,NA,NA,51.7,50.2,NA,NA,tag scar RFflip& B damage 2RLS& 1B on R of nose & RRflip,NA,NA,NA,NA,NA,NA
2000_RE_0028,9/21/2000,researcher_17,site_6,ocean,net,fisher_540,not_recorded,species_1,site_67,NotTagged_0041,None,NA,NA,NA,5,5,NA,NA,dark colouring& brown ridge on centl scutes& head black& round carapace& Rflips damaged& sm dmamge t head and B in eye& weak,NA,NA,NA,NA,NA,NA
2000_RE_0029,9/24/2000,researcher_17,site_111,creek,net,fisher_671,site_8,species_1,not_recorded,H347,None,NA,NA,NA,45.7,42,NA,NA,RFflip piece missing at end (blood)& 2sm B-R of nose& B underside of jaw& 2&3RLS = supeficial damage.,NA,NA,NA,NA,NA,NA
2000_RE_0030,9/28/2000,researcher_17,site_58,creek,net,fisher_679,not_recorded,species_1,site_110,Y425,None,NA,NA,NA,37.1,37.5,NA,NA,sm Bs shell& recent notch RFflip towards end& flaking at 1RLS & 4LLS,NA,NA,NA,NA,NA,NA
2000_RE_0031,10/1/2000,researcher_17,site_46,creek,net,fisher_774,not_recorded,species_1,site_97,W448,None,NA,NA,NA,43,41.3,NA,NA,FR prefrontal damage,NA,NA,NA,NA,NA,NA
2000_RE_0032,10/2/2000,researcher_17,site_6,ocean,net,fisher_70,not_recorded,species_1,site_67,Y424,None,NA,NA,NA,51,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0033,10/2/2000,researcher_17,site_33,creek,net,fisher_625,not_recorded,species_1,not_recorded,NotTagged_0042,None,NA,NA,NA,42.1,41.8,NA,NA,RRflip missing& RFflip small (3/4),NA,NA,NA,NA,NA,NA
2000_RE_0034,10/8/2000,researcher_17,site_110,creek,net,fisher_526,not_recorded,species_1,site_110,CC00140,None,NA,NA,NA,44.6,45.8,NA,NA,18 large Bs on shell,NA,NA,NA,NA,NA,NA
2000_RE_0035,10/9/2000,researcher_17,site_58,creek,net,fisher_340,not_recorded,species_1,not_recorded,CC00141,None,NA,NA,NA,40.5,38.5,NA,NA,notch end of RFflip& hump to 1CS&sm B -R&LRflips,NA,NA,NA,NA,NA,NA
2000_RE_0036,10/23/2000,researcher_14,site_110,creek,net,fisher_1383,not_recorded,species_1,site_110,NotTagged_0043,None,NA,NA,NA,37,37,NA,NA,Rflip chunk out at end& slight damage to edge.,NA,NA,NA,NA,NA,NA
2000_RE_0037,10/31/2000,researcher_17,site_33,creek,net,fisher_793,not_recorded,species_2,site_58,H379,None,NA,NA,NA,35.3,33.7,NA,NA,B-3SC& slight damage to head scales from net,NA,NA,NA,NA,NA,NA
2000_RE_0038,11/7/2000,researcher_17,site_33,creek,longline,fisher_139,not_recorded,species_2,site_106,H378,None,NA,NA,NA,35.1,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0039,11/7/2000,researcher_17,site_33,creek,net,fisher_610,not_recorded,species_1,not_recorded,H380,None,NA,NA,NA,44.9,43.7,NA,NA,sm Bs-3RLS,NA,NA,NA,NA,NA,NA
2000_RE_0040,11/8/2000,researcher_17,site_33,creek,net,fisher_553,not_recorded,species_1,not_recorded,H391,None,NA,NA,NA,44.8,42.6,NA,NA,ingrowing B-2LLS & 2&3LLS& 3LLS-damage to shell& sm Bs-RLFflip&1B-RFof head& algae covering of shell,NA,NA,NA,NA,NA,NA
2000_RE_0041,11/13/2000,researcher_17,site_12,creek,net,fisher_250,not_recorded,species_2,not_recorded,NotTagged_0044,None,NA,NA,NA,28,26,NA,NA,4Bs on head& many Bs on shell (esp'ly left side),NA,NA,NA,NA,NA,NA
2000_RE_0042,11/14/2000,researcher_17,site_33,creek,net,fisher_624,not_recorded,species_1,not_recorded,H392,None,NA,NA,NA,40.2,39.6,NA,NA,sm Bs on shell & neck,NA,NA,NA,NA,NA,NA
2000_RE_0043,11/15/2000,researcher_17,not_recorded,not_recorded,net,fisher_619,not_recorded,species_1,not_recorded,H396,None,NA,NA,NA,46.4,42,NA,NA,1B-2CS & 4LLS & 4RLS& 2Bs-3CS & LM& skin injury LFflip,NA,NA,NA,NA,NA,NA
2000_RE_0044,11/20/2000,researcher_17,site_33,creek,net,fisher_502,not_recorded,species_1,not_recorded,H394,None,NA,NA,NA,NA,NA,NA,NA,sm Bs on shell& superficial notches & scrapes on shell& notch out of LF & RF flip& notches between 6/7 & 7/8 Ms.,NA,NA,NA,NA,NA,NA
2000_RE_0045,11/21/2000,researcher_17,site_58,creek,net,fisher_329,not_recorded,species_1,site_110,Y410,None,NA,NA,NA,50.8,47.9,NA,NA,1B-2LLS & 4CS,NA,NA,NA,NA,NA,NA
2000_RE_0046,11/23/2000,researcher_17,site_33,creek,net,fisher_143,not_recorded,species_1,site_58,H395,None,NA,NA,NA,63.1,60.5,NA,NA,algae on shell& sm Bs-4RLS,NA,NA,NA,NA,NA,NA
2000_RE_0047,11/23/2000,researcher_17,site_6,ocean,net,fisher_1122,not_recorded,species_1,site_83,H396,None,NA,NA,NA,40.1,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0048,11/23/2000,researcher_17,site_58,creek,net,fisher_423,not_recorded,species_1,not_recorded,H397,None,NA,NA,NA,38,34.9,NA,NA,superficial marks on shell& sm Bs on RRflip,NA,NA,NA,NA,NA,NA
2000_RE_0049,11/24/2000,researcher_14,site_106,ocean,net,fisher_116,not_recorded,species_2,not_recorded,NotTagged_0045,None,NA,NA,NA,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0050,11/29/2000,researcher_17,site_58,creek,net,fisher_757,not_recorded,species_2,site_106,H398,None,NA,NA,NA,36.6,33,NA,NA,algae on shell& back end pink& sm Bs on neck,NA,NA,NA,NA,NA,NA
2000_RE_0051,12/1/2000,researcher_17,site_58,creek,net,fisher_690,not_recorded,species_1,site_110,H399,None,NA,NA,NA,39.5,38.5,NA,NA,sm Bs on rear flips & shell& 1B-left of mouth& sm old scar at back of R eye& sm injuries on front flips from net& flaking-3L&RLS& 6LM-indent,NA,NA,NA,NA,NA,NA
2000_RE_0052,12/6/2000,researcher_14,site_58,creek,net,fisher_940,not_recorded,species_1,site_58,NotTagged_0046,None,NA,NA,NA,43,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_RE_0053,12/6/2000,researcher_14,site_58,creek,net,fisher_963,not_recorded,species_1,site_58,NotTagged_0047,None,NA,NA,NA,44,41.5,NA,NA,no LRflip& mutation: 4LLS& 6RLS& 6CS,NA,NA,NA,NA,NA,NA
2000_RE_0054,12/7/2000,researcher_17,site_33,creek,net,fisher_260,not_recorded,species_1,site_110,H400,None,NA,NA,NA,38.5,36.9,NA,NA,sm notch RRflip,NA,NA,NA,NA,NA,NA
2000_RE_0055,12/9/2000,researcher_17,site_33,creek,net,fisher_619,site_8,species_1,not_recorded,NotTagged_0048,None,NA,NA,NA,35.8,34.2,NA,NA,LFflip narrowed in last 1/3,NA,NA,NA,NA,NA,NA
2000_RE_0056,12/13/2000,researcher_17,site_33,creek,net,fisher_422,not_recorded,species_1,site_81,CC00142,None,NA,NA,NA,38.4,37.5,NA,NA,sm Bs front flips& 2sm Bs left side of beak,NA,NA,NA,NA,NA,NA
2000_RE_0057,12/16/2000,researcher_17,site_120,ocean,net,fisher_46,not_recorded,species_2,site_82,CC00144,None,NA,NA,NA,43.2,37.7,NA,NA,algae on shell (esp'ly rear)& overlaps worn and jagged& 3 chips out of rear marginal (2L & 1R),NA,NA,NA,NA,NA,NA
2000_RE_0058,12/18/2000,researcher_17,site_120,ocean,net,fisher_46,not_recorded,species_2,site_82,CC00145,None,NA,NA,NA,46.2,42.6,NA,NA,calcium deposit () 1&2 LLS& algae at rear shell,NA,NA,NA,NA,NA,NA
2000_RE_0059,12/19/2000,researcher_17,site_110,creek,net,fisher_302,not_recorded,species_1,not_recorded,CC00146,None,NA,NA,NA,56,51.3,NA,NA,1B- 2 & 3CS & 3RM & 4RM,NA,NA,NA,NA,NA,NA
2000_RE_0060,12/22/2000,researcher_17,site_54,creek,net,fisher_91,not_recorded,species_2,site_116,CC00147,None,NA,NA,NA,64.7,62.6,NA,NA,algae at rear of shell,NA,NA,NA,NA,NA,NA
2000_RE_0061,12/22/2000,researcher_17,site_110,creek,net,fisher_1163,site_8,species_1,site_110,CC00186,None,NA,Y421,NA,49.8,47.3,NA,NA,old tag hole in LRflip& RFflip deformed like chunk missing at end and flatened but same length as left& bulbous swollen eyes,NA,NA,NA,NA,NA,NA
