ID,error
2011_RE_0004 x Weight_Kg,0.0
2011_RE_0004 x Sex,0.0
2011_RE_0004 x TurtleCharacteristics,0.0
2011_RE_0004 x Status,0.0
2011_RE_0004 x Date_Release,0.0
2011_RE_0004 x Release_Admiss_Notes,0.0
2011_RE_0004 x SpecialRemarks,0.0
2011_RE_0004 x PCVNumber,0.0
2011_RE_0004 x Expenditure,0.0
2011_RE_0005 x Date_Caught,0.0
2011_RE_0005 x Researcher,0.0
2011_RE_0005 x CaptureSite,0.0
2011_RE_0005 x ForagingGround,0.0
2011_RE_0005 x CaptureMethod,0.0
2011_RE_0005 x Fisher,0.0
2011_RE_0005 x LandingSite,0.0
2011_RE_0005 x Species,0.0
2011_RE_0005 x ReleaseSite,0.0
2011_RE_0005 x Tag_1,0.0
2011_RE_0005 x Tag_2,0.0
2011_RE_0005 x Tag_3,0.0
2011_RE_0005 x Lost_Tags,0.0
2011_RE_0005 x T_Number,0.0
2011_RE_0005 x CCL_cm,0.0
2011_RE_0005 x CCW_cm,0.0
2011_RE_0005 x Weight_Kg,0.0
2011_RE_0005 x Sex,0.0
2011_RE_0005 x TurtleCharacteristics,0.0
2011_RE_0005 x Status,0.0
2011_RE_0005 x Date_Release,0.0
2011_RE_0005 x Release_Admiss_Notes,0.0
2011_RE_0005 x SpecialRemarks,0.0
2011_RE_0005 x PCVNumber,0.0
2011_RE_0005 x Expenditure,0.0
2011_RE_0006 x Date_Caught,0.0
2011_RE_0006 x Researcher,0.0
2011_RE_0006 x CaptureSite,0.0
2011_RE_0006 x ForagingGround,0.0
2011_RE_0006 x CaptureMethod,0.0
2011_RE_0006 x Fisher,0.0
2011_RE_0006 x LandingSite,0.0
2011_RE_0006 x Species,0.0
2011_RE_0006 x ReleaseSite,0.0
2011_RE_0006 x Tag_1,0.0
2011_RE_0006 x Tag_2,0.0
2011_RE_0006 x Tag_3,0.0
2011_RE_0006 x Lost_Tags,0.0
2011_RE_0006 x T_Number,0.0
2011_RE_0006 x CCL_cm,0.0
2011_RE_0006 x CCW_cm,0.0
2011_RE_0006 x Weight_Kg,0.0
2011_RE_0006 x Sex,0.0
2011_RE_0006 x TurtleCharacteristics,0.0
2011_RE_0006 x Status,0.0
2011_RE_0006 x Date_Release,0.0
2011_RE_0006 x Release_Admiss_Notes,0.0
2011_RE_0006 x SpecialRemarks,0.0
2011_RE_0006 x PCVNumber,0.0
2011_RE_0006 x Expenditure,0.0
2011_RE_0007 x Date_Caught,0.0
2011_RE_0007 x Researcher,0.0
2011_RE_0007 x CaptureSite,0.0
2011_RE_0007 x ForagingGround,0.0
2011_RE_0007 x CaptureMethod,0.0
2011_RE_0007 x Fisher,0.0
2011_RE_0007 x LandingSite,0.0
2011_RE_0007 x Species,0.0
2011_RE_0007 x ReleaseSite,0.0
2011_RE_0007 x Tag_1,0.0
2011_RE_0007 x Tag_2,0.0
2011_RE_0007 x Tag_3,0.0
2011_RE_0007 x Lost_Tags,0.0
2011_RE_0007 x T_Number,0.0
2011_RE_0007 x CCL_cm,0.0
2011_RE_0007 x CCW_cm,0.0
2011_RE_0007 x Weight_Kg,0.0
2011_RE_0007 x Sex,0.0
2011_RE_0007 x TurtleCharacteristics,0.0
2011_RE_0007 x Status,0.0
2011_RE_0007 x Date_Release,0.0
2011_RE_0007 x Release_Admiss_Notes,0.0
2011_RE_0007 x SpecialRemarks,0.0
2011_RE_0007 x PCVNumber,0.0
2011_RE_0007 x Expenditure,0.0
2011_RE_0008 x Date_Caught,0.0
2011_RE_0008 x Researcher,0.0
2011_RE_0008 x CaptureSite,0.0
2011_RE_0008 x ForagingGround,0.0
2011_RE_0008 x CaptureMethod,0.0
2011_RE_0008 x Fisher,0.0
2011_RE_0008 x LandingSite,0.0
2011_RE_0008 x Species,0.0
2011_RE_0008 x ReleaseSite,0.0
2011_RE_0008 x Tag_1,0.0
2011_RE_0008 x Tag_2,0.0
2011_RE_0008 x Tag_3,0.0
2011_RE_0008 x Lost_Tags,0.0
2011_RE_0008 x T_Number,0.0
2011_RE_0008 x CCL_cm,0.0
2011_RE_0008 x CCW_cm,0.0
2011_RE_0008 x Weight_Kg,0.0
2011_RE_0008 x Sex,0.0
2011_RE_0008 x TurtleCharacteristics,0.0
2011_RE_0008 x Status,0.0
2011_RE_0008 x Date_Release,0.0
2011_RE_0008 x Release_Admiss_Notes,0.0
2011_RE_0008 x SpecialRemarks,0.0
2011_RE_0008 x PCVNumber,0.0
2011_RE_0008 x Expenditure,0.0
2011_RE_0009 x Date_Caught,0.0
2011_RE_0009 x Researcher,0.0
2011_RE_0009 x CaptureSite,0.0
2011_RE_0009 x ForagingGround,0.0
2011_RE_0009 x CaptureMethod,0.0
2011_RE_0009 x Fisher,0.0
2011_RE_0009 x LandingSite,0.0
2011_RE_0009 x Species,0.0
2011_RE_0009 x ReleaseSite,0.0
2011_RE_0009 x Tag_1,0.0
2011_RE_0009 x Tag_2,0.0
2011_RE_0009 x Tag_3,0.0
2011_RE_0009 x Lost_Tags,0.0
2011_RE_0009 x T_Number,0.0
2011_RE_0009 x CCL_cm,0.0
2011_RE_0009 x CCW_cm,0.0
2011_RE_0009 x Weight_Kg,0.0
2011_RE_0009 x Sex,0.0
2011_RE_0009 x TurtleCharacteristics,0.0
2011_RE_0009 x Status,0.0
2011_RE_0009 x Date_Release,0.0
2011_RE_0009 x Release_Admiss_Notes,0.0
2011_RE_0009 x SpecialRemarks,0.0
2011_RE_0009 x PCVNumber,0.0
2011_RE_0009 x Expenditure,0.0
2011_RE_0010 x Date_Caught,0.0
2011_RE_0010 x Researcher,0.0
2011_RE_0010 x CaptureSite,0.0
2011_RE_0010 x ForagingGround,0.0
2011_RE_0010 x CaptureMethod,0.0
2011_RE_0010 x Fisher,0.0
2011_RE_0010 x LandingSite,0.0
2011_RE_0010 x Species,0.0
2011_RE_0010 x ReleaseSite,0.0
2011_RE_0010 x Tag_1,0.0
2011_RE_0010 x Tag_2,0.0
2011_RE_0010 x Tag_3,0.0
2011_RE_0010 x Lost_Tags,0.0
2011_RE_0010 x T_Number,0.0
2011_RE_0010 x CCL_cm,0.0
2011_RE_0010 x CCW_cm,0.0
2011_RE_0010 x Weight_Kg,0.0
2011_RE_0010 x Sex,0.0
2011_RE_0010 x TurtleCharacteristics,0.0
2011_RE_0010 x Status,0.0
2011_RE_0010 x Date_Release,0.0
2011_RE_0010 x Release_Admiss_Notes,0.0
2011_RE_0010 x SpecialRemarks,0.0
2011_RE_0010 x PCVNumber,0.0
2011_RE_0010 x Expenditure,0.0
2011_RE_0011 x Date_Caught,0.0
2011_RE_0011 x Researcher,0.0
2011_RE_0011 x CaptureSite,0.0
2011_RE_0011 x ForagingGround,0.0
2011_RE_0011 x CaptureMethod,0.0
2011_RE_0011 x Fisher,0.0
2011_RE_0011 x LandingSite,0.0
2011_RE_0011 x Species,0.0
2011_RE_0011 x ReleaseSite,0.0
2011_RE_0011 x Tag_1,0.0
2011_RE_0011 x Tag_2,0.0
2011_RE_0011 x Tag_3,0.0
2011_RE_0011 x Lost_Tags,0.0
2011_RE_0011 x T_Number,0.0
2011_RE_0011 x CCL_cm,0.0
2011_RE_0011 x CCW_cm,0.0
2011_RE_0011 x Weight_Kg,0.0
2011_RE_0011 x Sex,0.0
2011_RE_0011 x TurtleCharacteristics,0.0
2011_RE_0011 x Status,0.0
2011_RE_0011 x Date_Release,0.0
2011_RE_0011 x Release_Admiss_Notes,0.0
2011_RE_0011 x SpecialRemarks,0.0
2011_RE_0011 x PCVNumber,0.0
2011_RE_0011 x Expenditure,0.0
2011_RE_0012 x Date_Caught,0.0
2011_RE_0012 x Researcher,0.0
2011_RE_0012 x CaptureSite,0.0
2011_RE_0012 x ForagingGround,0.0
2011_RE_0012 x CaptureMethod,0.0
2011_RE_0012 x Fisher,0.0
2011_RE_0012 x LandingSite,0.0
2011_RE_0012 x Species,0.0
2011_RE_0012 x ReleaseSite,0.0
2011_RE_0012 x Tag_1,0.0
2011_RE_0012 x Tag_2,0.0
2011_RE_0012 x Tag_3,0.0
2011_RE_0012 x Lost_Tags,0.0
2011_RE_0012 x T_Number,0.0
2011_RE_0012 x CCL_cm,0.0
2011_RE_0012 x CCW_cm,0.0
2011_RE_0012 x Weight_Kg,0.0
2011_RE_0012 x Sex,0.0
2011_RE_0012 x TurtleCharacteristics,0.0
2011_RE_0012 x Status,0.0
2011_RE_0012 x Date_Release,0.0
2011_RE_0012 x Release_Admiss_Notes,0.0
2011_RE_0012 x SpecialRemarks,0.0
2011_RE_0012 x PCVNumber,0.0
2011_RE_0012 x Expenditure,0.0
2011_RE_0013 x Date_Caught,0.0
2011_RE_0013 x Researcher,0.0
2011_RE_0013 x CaptureSite,0.0
2011_RE_0013 x ForagingGround,0.0
2011_RE_0013 x CaptureMethod,0.0
2011_RE_0013 x Fisher,0.0
2011_RE_0013 x LandingSite,0.0
2011_RE_0013 x Species,0.0
2011_RE_0013 x ReleaseSite,0.0
2011_RE_0013 x Tag_1,0.0
2011_RE_0013 x Tag_2,0.0
2011_RE_0013 x Tag_3,0.0
2011_RE_0013 x Lost_Tags,0.0
2011_RE_0013 x T_Number,0.0
2011_RE_0013 x CCL_cm,0.0
2011_RE_0013 x CCW_cm,0.0
2011_RE_0013 x Weight_Kg,0.0
2011_RE_0013 x Sex,0.0
2011_RE_0013 x TurtleCharacteristics,0.0
2011_RE_0013 x Status,0.0
2011_RE_0013 x Date_Release,0.0
2011_RE_0013 x Release_Admiss_Notes,0.0
2011_RE_0013 x SpecialRemarks,0.0
2011_RE_0013 x PCVNumber,0.0
2011_RE_0013 x Expenditure,0.0
2011_RE_0014 x Date_Caught,0.0
2011_RE_0014 x Researcher,0.0
2011_RE_0014 x CaptureSite,0.0
2011_RE_0014 x ForagingGround,0.0
2011_RE_0014 x CaptureMethod,0.0
2011_RE_0014 x Fisher,0.0
2011_RE_0014 x LandingSite,0.0
2011_RE_0014 x Species,0.0
2011_RE_0014 x ReleaseSite,0.0
2011_RE_0014 x Tag_1,0.0
2011_RE_0014 x Tag_2,0.0
2011_RE_0014 x Tag_3,0.0
2011_RE_0014 x Lost_Tags,0.0
2011_RE_0014 x T_Number,0.0
2011_RE_0014 x CCL_cm,0.0
2011_RE_0014 x CCW_cm,0.0
2011_RE_0014 x Weight_Kg,0.0
2011_RE_0014 x Sex,0.0
2011_RE_0014 x TurtleCharacteristics,0.0
2011_RE_0014 x Status,0.0
2011_RE_0014 x Date_Release,0.0
2011_RE_0014 x Release_Admiss_Notes,0.0
2011_RE_0014 x SpecialRemarks,0.0
2011_RE_0014 x PCVNumber,0.0
2011_RE_0014 x Expenditure,0.0
2011_RE_0015 x Date_Caught,0.0
2011_RE_0015 x Researcher,0.0
2011_RE_0015 x CaptureSite,0.0
2011_RE_0015 x ForagingGround,0.0
2011_RE_0015 x CaptureMethod,0.0
2011_RE_0015 x Fisher,0.0
2011_RE_0015 x LandingSite,0.0
2011_RE_0015 x Species,0.0
2011_RE_0015 x ReleaseSite,0.0
2011_RE_0015 x Tag_1,0.0
2011_RE_0015 x Tag_2,0.0
2011_RE_0015 x Tag_3,0.0
2011_RE_0015 x Lost_Tags,0.0
2011_RE_0015 x T_Number,0.0
2011_RE_0015 x CCL_cm,0.0
2011_RE_0015 x CCW_cm,0.0
2011_RE_0015 x Weight_Kg,0.0
2011_RE_0015 x Sex,0.0
2011_RE_0015 x TurtleCharacteristics,0.0
2011_RE_0015 x Status,0.0
2011_RE_0015 x Date_Release,0.0
2011_RE_0015 x Release_Admiss_Notes,0.0
2011_RE_0015 x SpecialRemarks,0.0
2011_RE_0015 x PCVNumber,0.0
2011_RE_0015 x Expenditure,0.0
2011_RE_0016 x Date_Caught,0.0
2011_RE_0016 x Researcher,0.0
2011_RE_0016 x CaptureSite,0.0
2011_RE_0016 x ForagingGround,0.0
2011_RE_0016 x CaptureMethod,0.0
2011_RE_0016 x Fisher,0.0
2011_RE_0016 x LandingSite,0.0
2011_RE_0016 x Species,0.0
2011_RE_0016 x ReleaseSite,0.0
2011_RE_0016 x Tag_1,0.0
2011_RE_0016 x Tag_2,0.0
2011_RE_0016 x Tag_3,0.0
2011_RE_0016 x Lost_Tags,0.0
2011_RE_0016 x T_Number,0.0
2011_RE_0016 x CCL_cm,0.0
2011_RE_0016 x CCW_cm,0.0
2011_RE_0016 x Weight_Kg,0.0
2011_RE_0016 x Sex,0.0
2011_RE_0016 x TurtleCharacteristics,0.0
2011_RE_0016 x Status,0.0
2011_RE_0016 x Date_Release,0.0
2011_RE_0016 x Release_Admiss_Notes,0.0
2011_RE_0016 x SpecialRemarks,0.0
2011_RE_0016 x PCVNumber,0.0
2011_RE_0016 x Expenditure,0.0
2011_RE_0017 x Date_Caught,0.0
2011_RE_0017 x Researcher,0.0
2011_RE_0017 x CaptureSite,0.0
2011_RE_0017 x ForagingGround,0.0
2011_RE_0017 x CaptureMethod,0.0
2011_RE_0017 x Fisher,0.0
2011_RE_0017 x LandingSite,0.0
2011_RE_0017 x Species,0.0
2011_RE_0017 x ReleaseSite,0.0
2011_RE_0017 x Tag_1,0.0
2011_RE_0017 x Tag_2,0.0
2011_RE_0017 x Tag_3,0.0
2011_RE_0017 x Lost_Tags,0.0
2011_RE_0017 x T_Number,0.0
2011_RE_0017 x CCL_cm,0.0
2011_RE_0017 x CCW_cm,0.0
2011_RE_0017 x Weight_Kg,0.0
2011_RE_0017 x Sex,0.0
2011_RE_0017 x TurtleCharacteristics,0.0
2011_RE_0017 x Status,0.0
2011_RE_0017 x Date_Release,0.0
2011_RE_0017 x Release_Admiss_Notes,0.0
2011_RE_0017 x SpecialRemarks,0.0
2011_RE_0017 x PCVNumber,0.0
2011_RE_0017 x Expenditure,0.0
2011_RE_0018 x Date_Caught,0.0
2011_RE_0018 x Researcher,0.0
2011_RE_0018 x CaptureSite,0.0
2011_RE_0018 x ForagingGround,0.0
2011_RE_0018 x CaptureMethod,0.0
2011_RE_0018 x Fisher,0.0
2011_RE_0018 x LandingSite,0.0
2011_RE_0018 x Species,0.0
2011_RE_0018 x ReleaseSite,0.0
2011_RE_0018 x Tag_1,0.0
2011_RE_0018 x Tag_2,0.0
2011_RE_0018 x Tag_3,0.0
2011_RE_0018 x Lost_Tags,0.0
2011_RE_0018 x T_Number,0.0
2011_RE_0018 x CCL_cm,0.0
2011_RE_0018 x CCW_cm,0.0
2011_RE_0018 x Weight_Kg,0.0
2011_RE_0018 x Sex,0.0
2011_RE_0018 x TurtleCharacteristics,0.0
2011_RE_0018 x Status,0.0
2011_RE_0018 x Date_Release,0.0
2011_RE_0018 x Release_Admiss_Notes,0.0
2011_RE_0018 x SpecialRemarks,0.0
2011_RE_0018 x PCVNumber,0.0
2011_RE_0018 x Expenditure,0.0
2011_RE_0019 x Date_Caught,0.0
2011_RE_0019 x Researcher,0.0
2011_RE_0019 x CaptureSite,0.0
2011_RE_0019 x ForagingGround,0.0
2011_RE_0019 x CaptureMethod,0.0
2011_RE_0019 x Fisher,0.0
2011_RE_0019 x LandingSite,0.0
2011_RE_0019 x Species,0.0
2011_RE_0019 x ReleaseSite,0.0
2011_RE_0019 x Tag_1,0.0
2011_RE_0019 x Tag_2,0.0
2011_RE_0019 x Tag_3,0.0
2011_RE_0019 x Lost_Tags,0.0
2011_RE_0019 x T_Number,0.0
2011_RE_0019 x CCL_cm,0.0
2011_RE_0019 x CCW_cm,0.0
2011_RE_0019 x Weight_Kg,0.0
2011_RE_0019 x Sex,0.0
2011_RE_0019 x TurtleCharacteristics,0.0
2011_RE_0019 x Status,0.0
2011_RE_0019 x Date_Release,0.0
2011_RE_0019 x Release_Admiss_Notes,0.0
2011_RE_0019 x SpecialRemarks,0.0
2011_RE_0019 x PCVNumber,0.0
2011_RE_0019 x Expenditure,0.0
2011_RE_0020 x Date_Caught,0.0
2011_RE_0020 x Researcher,0.0
2011_RE_0020 x CaptureSite,0.0
2011_RE_0020 x ForagingGround,0.0
2011_RE_0020 x CaptureMethod,0.0
2011_RE_0020 x Fisher,0.0
2011_RE_0020 x LandingSite,0.0
2011_RE_0020 x Species,0.0
2011_RE_0020 x ReleaseSite,0.0
2011_RE_0020 x Tag_1,0.0
2011_RE_0020 x Tag_2,0.0
2011_RE_0020 x Tag_3,0.0
2011_RE_0020 x Lost_Tags,0.0
2011_RE_0020 x T_Number,0.0
2011_RE_0020 x CCL_cm,0.0
2011_RE_0020 x CCW_cm,0.0
2011_RE_0020 x Weight_Kg,0.0
2011_RE_0020 x Sex,0.0
2011_RE_0020 x TurtleCharacteristics,0.0
2011_RE_0020 x Status,0.0
2011_RE_0020 x Date_Release,0.0
2011_RE_0020 x Release_Admiss_Notes,0.0
2011_RE_0020 x SpecialRemarks,0.0
2011_RE_0020 x PCVNumber,0.0
2011_RE_0020 x Expenditure,0.0
2011_RE_0021 x Date_Caught,0.0
2011_RE_0021 x Researcher,0.0
2011_RE_0021 x CaptureSite,0.0
2011_RE_0021 x ForagingGround,0.0
2011_RE_0021 x CaptureMethod,0.0
2011_RE_0021 x Fisher,0.0
2011_RE_0021 x LandingSite,0.0
2011_RE_0021 x Species,0.0
2011_RE_0021 x ReleaseSite,0.0
2011_RE_0021 x Tag_1,0.0
2011_RE_0021 x Tag_2,0.0
2011_RE_0021 x Tag_3,0.0
2011_RE_0021 x Lost_Tags,0.0
2011_RE_0021 x T_Number,0.0
2011_RE_0021 x CCL_cm,0.0
2011_RE_0021 x CCW_cm,0.0
2011_RE_0021 x Weight_Kg,0.0
2011_RE_0021 x Sex,0.0
2011_RE_0021 x TurtleCharacteristics,0.0
2011_RE_0021 x Status,0.0
2011_RE_0021 x Date_Release,0.0
2011_RE_0021 x Release_Admiss_Notes,0.0
2011_RE_0021 x SpecialRemarks,0.0
2011_RE_0021 x PCVNumber,0.0
2011_RE_0021 x Expenditure,0.0
2011_RE_0022 x Date_Caught,0.0
2011_RE_0022 x Researcher,0.0
2011_RE_0022 x CaptureSite,0.0
2011_RE_0022 x ForagingGround,0.0
2011_RE_0022 x CaptureMethod,0.0
2011_RE_0022 x Fisher,0.0
2011_RE_0022 x LandingSite,0.0
2011_RE_0022 x Species,0.0
2011_RE_0022 x ReleaseSite,0.0
2011_RE_0022 x Tag_1,0.0
2011_RE_0022 x Tag_2,0.0
2011_RE_0022 x Tag_3,0.0
2011_RE_0022 x Lost_Tags,0.0
2011_RE_0022 x T_Number,0.0
2011_RE_0022 x CCL_cm,0.0
2011_RE_0022 x CCW_cm,0.0
2011_RE_0022 x Weight_Kg,0.0
2011_RE_0022 x Sex,0.0
2011_RE_0022 x TurtleCharacteristics,0.0
2011_RE_0022 x Status,0.0
2011_RE_0022 x Date_Release,0.0
2011_RE_0022 x Release_Admiss_Notes,0.0
2011_RE_0022 x SpecialRemarks,0.0
2011_RE_0022 x PCVNumber,0.0
2011_RE_0022 x Expenditure,0.0
2011_RE_0023 x Date_Caught,0.0
2011_RE_0023 x Researcher,0.0
2011_RE_0023 x CaptureSite,0.0
2011_RE_0023 x ForagingGround,0.0
2011_RE_0023 x CaptureMethod,0.0
2011_RE_0023 x Fisher,0.0
2011_RE_0023 x LandingSite,0.0
2011_RE_0023 x Species,0.0
2011_RE_0023 x ReleaseSite,0.0
2011_RE_0023 x Tag_1,0.0
2011_RE_0023 x Tag_2,0.0
2011_RE_0023 x Tag_3,0.0
2011_RE_0023 x Lost_Tags,0.0
2011_RE_0023 x T_Number,0.0
2011_RE_0023 x CCL_cm,0.0
2011_RE_0023 x CCW_cm,0.0
2011_RE_0023 x Weight_Kg,0.0
2011_RE_0023 x Sex,0.0
2011_RE_0023 x TurtleCharacteristics,0.0
2011_RE_0023 x Status,0.0
2011_RE_0023 x Date_Release,0.0
2011_RE_0023 x Release_Admiss_Notes,0.0
2011_RE_0023 x SpecialRemarks,0.0
2011_RE_0023 x PCVNumber,0.0
2011_RE_0023 x Expenditure,0.0
2011_RE_0024 x Date_Caught,0.0
2011_RE_0024 x Researcher,0.0
2011_RE_0024 x CaptureSite,0.0
2011_RE_0024 x ForagingGround,0.0
2011_RE_0024 x CaptureMethod,0.0
2011_RE_0024 x Fisher,0.0
2011_RE_0024 x LandingSite,0.0
2011_RE_0024 x Species,0.0
2011_RE_0024 x ReleaseSite,0.0
2011_RE_0024 x Tag_1,0.0
2011_RE_0024 x Tag_2,0.0
2011_RE_0024 x Tag_3,0.0
2011_RE_0024 x Lost_Tags,0.0
2011_RE_0024 x T_Number,0.0
2011_RE_0024 x CCL_cm,0.0
2011_RE_0024 x CCW_cm,0.0
2011_RE_0024 x Weight_Kg,0.0
2011_RE_0024 x Sex,0.0
2011_RE_0024 x TurtleCharacteristics,0.0
2011_RE_0024 x Status,0.0
2011_RE_0024 x Date_Release,0.0
2011_RE_0024 x Release_Admiss_Notes,0.0
2011_RE_0024 x SpecialRemarks,0.0
2011_RE_0024 x PCVNumber,0.0
2011_RE_0024 x Expenditure,0.0
2011_RE_0025 x Date_Caught,0.0
2011_RE_0025 x Researcher,0.0
2011_RE_0025 x CaptureSite,0.0
2011_RE_0025 x ForagingGround,0.0
2011_RE_0025 x CaptureMethod,0.0
2011_RE_0025 x Fisher,0.0
2011_RE_0025 x LandingSite,0.0
2011_RE_0025 x Species,0.0
2011_RE_0025 x ReleaseSite,0.0
2011_RE_0025 x Tag_1,0.0
2011_RE_0025 x Tag_2,0.0
2011_RE_0025 x Tag_3,0.0
2011_RE_0025 x Lost_Tags,0.0
2011_RE_0025 x T_Number,0.0
2011_RE_0025 x CCL_cm,0.0
2011_RE_0025 x CCW_cm,0.0
2011_RE_0025 x Weight_Kg,0.0
2011_RE_0025 x Sex,0.0
2011_RE_0025 x TurtleCharacteristics,0.0
2011_RE_0025 x Status,0.0
2011_RE_0025 x Date_Release,0.0
2011_RE_0025 x Release_Admiss_Notes,0.0
2011_RE_0025 x SpecialRemarks,0.0
2011_RE_0025 x PCVNumber,0.0
2011_RE_0025 x Expenditure,0.0
2011_RE_0026 x Date_Caught,0.0
2011_RE_0026 x Researcher,0.0
2011_RE_0026 x CaptureSite,0.0
2011_RE_0026 x ForagingGround,0.0
2011_RE_0026 x CaptureMethod,0.0
2011_RE_0026 x Fisher,0.0
2011_RE_0026 x LandingSite,0.0
2011_RE_0026 x Species,0.0
2011_RE_0026 x ReleaseSite,0.0
2011_RE_0026 x Tag_1,0.0
2011_RE_0026 x Tag_2,0.0
2011_RE_0026 x Tag_3,0.0
2011_RE_0026 x Lost_Tags,0.0
2011_RE_0026 x T_Number,0.0
2011_RE_0026 x CCL_cm,0.0
2011_RE_0026 x CCW_cm,0.0
2011_RE_0026 x Weight_Kg,0.0
2011_RE_0026 x Sex,0.0
2011_RE_0026 x TurtleCharacteristics,0.0
2011_RE_0026 x Status,0.0
2011_RE_0026 x Date_Release,0.0
2011_RE_0026 x Release_Admiss_Notes,0.0
2011_RE_0026 x SpecialRemarks,0.0
2011_RE_0026 x PCVNumber,0.0
2011_RE_0026 x Expenditure,0.0
2011_RE_0027 x Date_Caught,0.0
2011_RE_0027 x Researcher,0.0
2011_RE_0027 x CaptureSite,0.0
2011_RE_0027 x ForagingGround,0.0
2011_RE_0027 x CaptureMethod,0.0
2011_RE_0027 x Fisher,0.0
2011_RE_0027 x LandingSite,0.0
2011_RE_0027 x Species,0.0
2011_RE_0027 x ReleaseSite,0.0
2011_RE_0027 x Tag_1,0.0
2011_RE_0027 x Tag_2,0.0
2011_RE_0027 x Tag_3,0.0
2011_RE_0027 x Lost_Tags,0.0
2011_RE_0027 x T_Number,0.0
2011_RE_0027 x CCL_cm,0.0
2011_RE_0027 x CCW_cm,0.0
2011_RE_0027 x Weight_Kg,0.0
2011_RE_0027 x Sex,0.0
2011_RE_0027 x TurtleCharacteristics,0.0
2011_RE_0027 x Status,0.0
2011_RE_0027 x Date_Release,0.0
2011_RE_0027 x Release_Admiss_Notes,0.0
2011_RE_0027 x SpecialRemarks,0.0
2011_RE_0027 x PCVNumber,0.0
2011_RE_0027 x Expenditure,0.0
2011_RE_0028 x Date_Caught,0.0
